codigo;data_publicacao;titulo;palavra;fonte;url;palavras;meio;data_investimento
2523942;08/04/2025 00:00;Angelina Jolie negocia para abrir em SP unidade de seu ateliê de Nova York;abrir;Folha de S. Paulo;https://www1.folha.uol.com.br/colunas/monicabergamo/2025/04/angelina-jolie-negocia-para-abrir-em-sp-unidade-de-seu-atelie-de-nova-york.shtml;abrir;Portais;17/04/2025 09:56
2523965;08/04/2025 00:00;EDP vai investir R$ 3 milhões em hospitais e iluminação na região;implantação, instalação, investimento, investir, concessão;O Vale;https://sampi.net.br/ovale/noticias/2895703/vale-do-paraiba/2025/04/edp-vai-investir-r-3-milhoes-em-hospitais-e-iluminacao-na-regiao;implantação, instalação, investimento, investir, concessão;Portais;17/04/2025 10:02
2523974;08/04/2025 00:00;EDP vai investir R$ 3 milhões em hospitais e iluminação na região;implantação, instalação, investimento, investir, concessão;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2895703/vale-do-paraiba/2025/04/edp-vai-investir-r-3-milhoes-em-hospitais-e-iluminacao-na-regiao;implantação, instalação, investimento, investir, concessão;Portais;17/04/2025 10:05
2523994;08/04/2025 00:00;"Restaurante chega a Franca e abre 92 vagas de empregos; CONFIRA";desenvolver, inaugura, inauguração;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2895699/franca-e-regiao/2025/04/restaurante-chega-a-franca-e-abre-92-vagas-de-empregos-confira;desenvolver, inaugura, inauguração;Portais;17/04/2025 10:08
2523995;08/04/2025 00:00;"Restaurante chega a Franca e abre 92 vagas de empregos; CONFIRA";desenvolver, inaugura, inauguração;O Vale;https://sampi.net.br/ovale/noticias/2895699/franca-e-regiao/2025/04/restaurante-chega-a-franca-e-abre-92-vagas-de-empregos-confira;desenvolver, inaugura, inauguração;Portais;17/04/2025 10:11
2523840;08/04/2025 00:00;Rodovias Anhanguera e Bandeirantes passam por obras em Jundiaí;implantação, instalação;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2895622/jundiai/2025/04/rodovias-anhanguera-e-bandeirantes-passam-por-obras-em-jundiai;implantação, instalação;Portais;17/04/2025 10:42
2523744;08/04/2025 00:00;Após grave crise, Tupperware planeja abrir loja;abrir;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/04/08/apos-grave-crise-tupperware-planeja-abrir-loja.ghtml;abrir;Portais;17/04/2025 10:53
2524281;09/04/2025 00:00;Sírio-Libanês inaugura curso de medicina;inaugura;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/04/09/sirio-libanes-inaugura-curso-de-medicina.ghtml;inaugura;Portais;17/04/2025 10:53
2524963;10/04/2025 00:00;TIM investirá R$ 1 bilhão para melhorar rede e ampliar cobertura em São Paulo;ampliar, investimento, investimentos, investir, abrir;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/agencia/tim-investira-r-1-bilh-o-para-melhorar-rede-e-ampliar-cobertura-em-s-o-paulo-1.2052276;ampliar, investimento, investimentos, investir, abrir;Portais;17/04/2025 10:59
2525024;10/04/2025 00:00;Clube que reproduz praia na marginal de SP acerta com Bodytech;abertura, empreendimento, investimento, investimentos;Folha de S. Paulo;https://www1.folha.uol.com.br/colunas/painelsa/2025/04/clube-que-reproduz-praia-na-marginal-de-sp-acerta-com-bodytech.shtml;abertura, empreendimento, investimento, investimentos;Portais;17/04/2025 11:08
2525633;11/04/2025 00:00;Com 230 empregos, supermercado inaugura nova unidade 24h em SJC;abertura, investimento;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2896546/vale-do-paraiba/2025/04/com-230-empregos-supermercado-inaugura-nova-unidade-24h-em-sjc;abertura, investimento;Portais;17/04/2025 11:30
